"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 01 22:19:24 MSK 2022","Tue Feb 01 22:19:25 MSK 2022","820","","ru.praktikum_services.stellarburgers.user.сreate.CreateNewUserWithoutMandatoryFieldsTest","","ru.praktikum_services.stellarburgers.user.сreate.CreateNewUserWithoutMandatoryFieldsTest","checkUserCanNotBeCreatedWithoutMandatoryFields[2]","Создание пользователя без обязательных полей невозможно","Создание пользователя без обязательных полей невозможно"
"passed","Tue Feb 01 22:19:28 MSK 2022","Tue Feb 01 22:19:28 MSK 2022","299","","ru.praktikum_services.stellarburgers.user.login.LoginWithoutMandatoryFieldsTest","","ru.praktikum_services.stellarburgers.user.login.LoginWithoutMandatoryFieldsTest","checkNewCourierCanNotLoginWithoutMandatoryFields[2]","Логин пользователя в системе без обязательных полей","Логин пользователя в системе без обязательных полей"
"passed","Tue Feb 01 22:19:23 MSK 2022","Tue Feb 01 22:19:24 MSK 2022","712","","ru.praktikum_services.stellarburgers.user.сreate.CreateNewUserWithoutMandatoryFieldsTest","","ru.praktikum_services.stellarburgers.user.сreate.CreateNewUserWithoutMandatoryFieldsTest","checkUserCanNotBeCreatedWithoutMandatoryFields[1]","Создание пользователя без обязательных полей невозможно","Создание пользователя без обязательных полей невозможно"
"passed","Tue Feb 01 22:18:40 MSK 2022","Tue Feb 01 22:18:42 MSK 2022","1797","","ru.praktikum_services.stellarburgers.order.CreateTest","","ru.praktikum_services.stellarburgers.order.CreateTest","createOrderWithoutIngredientsFail","Создать заказ без ингредиентов. Получить ошибку",""
"passed","Tue Feb 01 22:19:16 MSK 2022","Tue Feb 01 22:19:19 MSK 2022","2764","","ru.praktikum_services.stellarburgers.user.update.NegativeUpdateUserTest","","ru.praktikum_services.stellarburgers.user.update.NegativeUpdateUserTest","checkUserCanNotBeUpdate","Изменение пользователя. Негативный сценарий: пользователь с таким email уже существует","Изменение пользователя. Негативный сценарий: пользователь с таким email уже существует"
"passed","Tue Feb 01 22:18:47 MSK 2022","Tue Feb 01 22:19:14 MSK 2022","27442","","ru.praktikum_services.stellarburgers.order.GetOrdersFromIndividualUserTest","","ru.praktikum_services.stellarburgers.order.GetOrdersFromIndividualUserTest","getOrdersFromLoginedUserWith50Orders","Проверка получения списка из 50 заказов для зарегистрированных пользователей с 50-ью заказами",""
"passed","Tue Feb 01 22:19:20 MSK 2022","Tue Feb 01 22:19:21 MSK 2022","1075","","ru.praktikum_services.stellarburgers.user.update.UpdateUserTest","","ru.praktikum_services.stellarburgers.user.update.UpdateUserTest","checkUserCanBeUpdatePassword","Изменение пользователя. Изменение пароля","Изменение пользователя. Изменение пароля"
"passed","Tue Feb 01 22:18:38 MSK 2022","Tue Feb 01 22:18:40 MSK 2022","2176","","ru.praktikum_services.stellarburgers.order.CreateTest","","ru.praktikum_services.stellarburgers.order.CreateTest","createOrderWithAuthSuccess","Создать заказ с существующими ингредиентами и авторизацией",""
"passed","Tue Feb 01 22:19:14 MSK 2022","Tue Feb 01 22:19:16 MSK 2022","1929","","ru.praktikum_services.stellarburgers.order.GetOrdersFromIndividualUserTest","","ru.praktikum_services.stellarburgers.order.GetOrdersFromIndividualUserTest","getOrdersFromLoginedUserWithoutOrders","Проверка получения пустого списка заказов для зарегистрированных пользователей без заказов",""
"passed","Tue Feb 01 22:19:19 MSK 2022","Tue Feb 01 22:19:20 MSK 2022","1003","","ru.praktikum_services.stellarburgers.user.update.NegativeUpdateUserTest","","ru.praktikum_services.stellarburgers.user.update.NegativeUpdateUserTest","checkUserCanNotBeCreatedWithoutAuthorization","Изменение пользователя. Негативный сценарий: нет авторизации","Изменение пользователя. Негативный сценарий: нет авторизации"
"passed","Tue Feb 01 22:19:25 MSK 2022","Tue Feb 01 22:19:25 MSK 2022","333","","ru.praktikum_services.stellarburgers.user.сreate.CreateUserTest","","ru.praktikum_services.stellarburgers.user.сreate.CreateUserTest","checkUserCanBeCreated","Создание уникального пользователя","Создание уникального пользователя"
"passed","Tue Feb 01 22:19:25 MSK 2022","Tue Feb 01 22:19:26 MSK 2022","1469","","ru.praktikum_services.stellarburgers.user.сreate.CreateUserTest","","ru.praktikum_services.stellarburgers.user.сreate.CreateUserTest","checkTheSameUserCanNotBeCreated","Создание существующего пользователя","Создание существующего пользователя"
"passed","Tue Feb 01 22:18:31 MSK 2022","Tue Feb 01 22:18:37 MSK 2022","5251","","ru.praktikum_services.stellarburgers.order.CreateTest","","ru.praktikum_services.stellarburgers.order.CreateTest","createOrderWithIncorrectIngredientFail","Создать заказ с не существующими ингредиентами. Получить ошибку",""
"failed","Tue Feb 01 22:18:37 MSK 2022","Tue Feb 01 22:18:38 MSK 2022","1315","","ru.praktikum_services.stellarburgers.order.CreateTest","","ru.praktikum_services.stellarburgers.order.CreateTest","createOrderWithoutAuthFail","Создать заказ без авторизации. Получить ошибку",""
"passed","Tue Feb 01 22:19:21 MSK 2022","Tue Feb 01 22:19:22 MSK 2022","1088","","ru.praktikum_services.stellarburgers.user.update.UpdateUserTest","","ru.praktikum_services.stellarburgers.user.update.UpdateUserTest","checkUserCanBeUpdateEmail","Изменение пользователя. Изменение почты","Изменение пользователя. Изменение почты"
"passed","Tue Feb 01 22:19:27 MSK 2022","Tue Feb 01 22:19:28 MSK 2022","790","","ru.praktikum_services.stellarburgers.user.login.LoginWithoutMandatoryFieldsTest","","ru.praktikum_services.stellarburgers.user.login.LoginWithoutMandatoryFieldsTest","checkNewCourierCanNotLoginWithoutMandatoryFields[1]","Логин пользователя в системе без обязательных полей","Логин пользователя в системе без обязательных полей"
"passed","Tue Feb 01 22:19:30 MSK 2022","Tue Feb 01 22:19:31 MSK 2022","893","","ru.praktikum_services.stellarburgers.user.login.LoginWithWrongUserTest","","ru.praktikum_services.stellarburgers.user.login.LoginWithWrongUserTest","checkNewCourierCanLogin","Логин пользователя в системе. Позитивный сценарий","Логин пользователя в системе. Позитивный сценарий"
"passed","Tue Feb 01 22:19:26 MSK 2022","Tue Feb 01 22:19:27 MSK 2022","366","","ru.praktikum_services.stellarburgers.user.login.LoginWithoutMandatoryFieldsTest","","ru.praktikum_services.stellarburgers.user.login.LoginWithoutMandatoryFieldsTest","checkNewCourierCanNotLoginWithoutMandatoryFields[0]","Логин пользователя в системе без обязательных полей","Логин пользователя в системе без обязательных полей"
"passed","Tue Feb 01 22:19:22 MSK 2022","Tue Feb 01 22:19:23 MSK 2022","676","","ru.praktikum_services.stellarburgers.user.update.UpdateUserTest","","ru.praktikum_services.stellarburgers.user.update.UpdateUserTest","checkUserCanBeUpdateName","Изменение пользователя. Изменение имени","Изменение пользователя. Изменение имени"
"passed","Tue Feb 01 22:18:44 MSK 2022","Tue Feb 01 22:18:47 MSK 2022","2372","","ru.praktikum_services.stellarburgers.order.GetOrdersFromIndividualUserTest","","ru.praktikum_services.stellarburgers.order.GetOrdersFromIndividualUserTest","getOrdersFromNotLoginedUserWithOrders","Проверка ошибки получения списка заказов для не авторизованного пользователя",""
"passed","Tue Feb 01 22:19:28 MSK 2022","Tue Feb 01 22:19:30 MSK 2022","1880","","ru.praktikum_services.stellarburgers.user.login.LoginTest","","ru.praktikum_services.stellarburgers.user.login.LoginTest","checkNewCourierCanLogin","Логин пользователя в системе. Позитивный сценарий","Логин пользователя в системе. Позитивный сценарий"
"passed","Tue Feb 01 22:19:23 MSK 2022","Tue Feb 01 22:19:23 MSK 2022","329","","ru.praktikum_services.stellarburgers.user.сreate.CreateNewUserWithoutMandatoryFieldsTest","","ru.praktikum_services.stellarburgers.user.сreate.CreateNewUserWithoutMandatoryFieldsTest","checkUserCanNotBeCreatedWithoutMandatoryFields[0]","Создание пользователя без обязательных полей невозможно","Создание пользователя без обязательных полей невозможно"
"passed","Tue Feb 01 22:18:42 MSK 2022","Tue Feb 01 22:18:44 MSK 2022","2200","","ru.praktikum_services.stellarburgers.order.GetOrdersFromIndividualUserTest","","ru.praktikum_services.stellarburgers.order.GetOrdersFromIndividualUserTest","getOrdersFromLoginedUserWith1Orders","Проверка получения списка 1 заказа для зарегистрированных пользователей с 1 заказом",""
